col11, col12, col13, col21, col22, col23
6, 4, 1, 9, 4, 10
9, 13, 3, 8, 13, 8
1, 22, 1, 9, 22, 10
7, 31, 9, 5, 31, 3
1, 40, 3, 9, 40, 3
4, 49, 6, 8, 49, 3
4, 58, 8, 1, 58, 5
8, 67, 1, 3, 67, 4
6, 76, 4, 3, 76, 7
10, 85, 4, 2, 85, 9
7, 94, 4, 2, 94, 6
2, 103, 10, 10, 103, 4
7, 112, 5, 8, 112, 1
7, 121, 6, 8, 121, 10
4, 130, 7, 4, 130, 6
4, 139, 5, 4, 139, 1
10, 148, 4, 7, 148, 2
1, 157, 3, 10, 157, 5
6, 166, 10, 2, 166, 9
3, 175, 3, 6, 175, 1
7, 184, 4, 7, 184, 3
4, 193, 10, 7, 193, 5
6, 202, 10, 7, 202, 9
6, 211, 4, 6, 211, 8
1, 220, 1, 1, 220, 8
2, 229, 6, 6, 229, 6
3, 238, 1, 2, 238, 3
3, 247, 6, 5, 247, 5
10, 256, 2, 4, 256, 6
3, 265, 6, 6, 265, 9
3, 274, 3, 9, 274, 10
9, 283, 10, 2, 283, 2
9, 292, 6, 9, 292, 8
7, 301, 4, 3, 301, 4
9, 310, 6, 1, 310, 8
1, 319, 4, 1, 319, 4
6, 328, 8, 2, 328, 5
10, 337, 4, 8, 337, 3
5, 346, 9, 9, 346, 10
9, 355, 5, 6, 355, 4
8, 364, 8, 8, 364, 8
7, 373, 5, 3, 373, 9
1, 382, 8, 4, 382, 9
6, 391, 8, 2, 391, 10
6, 400, 3, 2, 400, 7
4, 409, 9, 10, 409, 10
5, 418, 3, 4, 418, 10
2, 427, 4, 2, 427, 10
3, 436, 2, 9, 436, 5
2, 445, 5, 3, 445, 6
5, 454, 9, 3, 454, 2
9, 463, 10, 9, 463, 9
2, 472, 5, 2, 472, 10
9, 481, 4, 10, 481, 5
9, 490, 5, 9, 490, 4
2, 499, 4, 8, 499, 9
1, 508, 3, 10, 508, 5
3, 517, 5, 8, 517, 7
8, 526, 9, 6, 526, 2
8, 535, 6, 1, 535, 3
7, 544, 10, 9, 544, 4
8, 553, 4, 2, 553, 9
8, 562, 9, 4, 562, 8
2, 571, 10, 10, 571, 1
3, 580, 3, 2, 580, 8
4, 589, 6, 10, 589, 6
9, 598, 8, 6, 598, 4
7, 607, 1, 4, 607, 4
7, 616, 8, 6, 616, 5
6, 625, 3, 10, 625, 5
3, 634, 5, 7, 634, 4
8, 643, 4, 2, 643, 7
1, 652, 7, 6, 652, 7
2, 661, 2, 5, 661, 3
1, 670, 9, 5, 670, 9
2, 679, 2, 1, 679, 9
8, 688, 6, 3, 688, 6
7, 697, 8, 7, 697, 10
6, 706, 6, 1, 706, 8
2, 715, 6, 9, 715, 2
4, 724, 8, 1, 724, 9
10, 733, 7, 8, 733, 5
3, 742, 1, 7, 742, 1
1, 751, 3, 9, 751, 5
7, 760, 6, 7, 760, 6
8, 769, 1, 3, 769, 9
6, 778, 1, 2, 778, 5
10, 787, 10, 6, 787, 9
5, 796, 4, 2, 796, 7
1, 805, 1, 5, 805, 7
10, 814, 10, 9, 814, 7
7, 823, 1, 2, 823, 1
8, 832, 8, 5, 832, 2
2, 841, 8, 2, 841, 7
2, 850, 5, 4, 850, 5
6, 859, 6, 5, 859, 5
10, 868, 9, 3, 868, 4
5, 877, 2, 9, 877, 6
9, 886, 4, 8, 886, 9
4, 895, 9, 4, 895, 3
8, 904, 10, 4, 904, 4
2, 913, 7, 9, 913, 4
4, 922, 2, 6, 922, 4
8, 931, 9, 5, 931, 2
9, 940, 5, 1, 940, 9
8, 949, 3, 5, 949, 3
1, 958, 10, 9, 958, 7
6, 967, 4, 8, 967, 3
10, 976, 9, 1, 976, 8
5, 985, 6, 1, 985, 7
1, 994, 1, 1, 994, 5
10, 1003, 9, 9, 1003, 4
3, 1012, 6, 3, 1012, 8
2, 1021, 2, 3, 1021, 9
5, 1030, 9, 9, 1030, 5
6, 1039, 3, 8, 1039, 4
4, 1048, 9, 7, 1048, 9
7, 1057, 2, 10, 1057, 5
9, 1066, 6, 9, 1066, 4
3, 1075, 10, 4, 1075, 1
2, 1084, 4, 8, 1084, 1
7, 1093, 8, 4, 1093, 3
3, 1102, 5, 2, 1102, 8
4, 1111, 1, 2, 1111, 2
7, 1120, 8, 1, 1120, 7
6, 1129, 5, 6, 1129, 4
9, 1138, 3, 3, 1138, 4
5, 1147, 5, 4, 1147, 9
1, 1156, 9, 1, 1156, 2
8, 1165, 6, 10, 1165, 8
